file_path,file_name,container,video_codec,audio_codec,resolution_x,resolution_y,duration,path,filename,season,episode,series
E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E11.mkv,Outcast_S01_E11.mkv,mkv,h264,aac,1280,720,00:29:10.323000000,E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E11.mkv,Outcast_S01_E11.mkv,1,11,The Outcast
E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E12.mkv,Outcast_S01_E12.mkv,mkv,h264,aac,1280,720,00:43:48.994000000,E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E12.mkv,Outcast_S01_E12.mkv,1,12,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E01.mp4,Outcast_S02_E01.mp4,mp4,h264,aac,1280,720,00:26:53.096,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E01.mp4,Outcast_S02_E01.mp4,2,1,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E02.mp4,Outcast_S02_E02.mp4,mp4,h264,aac,1920,1080,00:24:05.226,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E02.mp4,Outcast_S02_E02.mp4,2,2,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E03.mp4,Outcast_S02_E03.mp4,mp4,h264,aac,1920,1080,00:24:35.114,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E03.mp4,Outcast_S02_E03.mp4,2,3,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E04.mp4,Outcast_S02_E04.mp4,mp4,h264,aac,1920,1080,00:28:54.913,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E04.mp4,Outcast_S02_E04.mp4,2,4,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E05.mp4,Outcast_S02_E05.mp4,mp4,h264,aac,1920,1080,00:29:56.244,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E05.mp4,Outcast_S02_E05.mp4,2,5,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E06.mp4,Outcast_S02_E06.mp4,mp4,h264,aac,1920,1080,00:27:29.043,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E06.mp4,Outcast_S02_E06.mp4,2,6,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E07.mp4,Outcast_S02_E07.mp4,mp4,h264,aac,1920,1080,00:28:34.708,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E07.mp4,Outcast_S02_E07.mp4,2,7,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E08.mp4,Outcast_S02_E08.mp4,mp4,h264,aac,1920,1080,00:24:58.668,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E08.mp4,Outcast_S02_E08.mp4,2,8,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E09.mp4,Outcast_S02_E09.mp4,mp4,h264,aac,1920,1080,00:22:01.083,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E09.mp4,Outcast_S02_E09.mp4,2,9,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E10.mp4,Outcast_S02_E10.mp4,mp4,h264,aac,1920,1080,00:24:43.708,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E10.mp4,Outcast_S02_E10.mp4,2,10,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E11.mp4,Outcast_S02_E11.mp4,mp4,h264,aac,1920,1080,00:24:56.625,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E11.mp4,Outcast_S02_E11.mp4,2,11,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E12.mp4,Outcast_S02_E12.mp4,mp4,h264,aac,1920,1080,00:29:30.345,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E12.mp4,Outcast_S02_E12.mp4,2,12,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E13.mp4,Outcast_S02_E13.mp4,mp4,h264,aac,1920,1080,00:28:27.091,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E13.mp4,Outcast_S02_E13.mp4,2,13,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E14.mp4,Outcast_S02_E14.mp4,mp4,h264,aac,1920,1080,00:24:46.875,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E14.mp4,Outcast_S02_E14.mp4,2,14,The Outcast
